;variable_splits;pos
0;Canada_-_Brand_Apr_2024;1.034660996
1;Canada_-_Non_Brand_Apr_2024;1.033203204
2;Canada_-_Brand_May_2024;1.134959891
3;Canada_-_Non_Brand_May_2024;0.935940201
4;Canada_-_Brand_Jun_2024;1.137730693
5;Canada_-_Non_Brand_Jun_2024;0.93610509
6;Canada_-_Brand_Jul_2024;0.996202877
7;Canada_-_Non_Brand_Jul_2024;0.978751315
8;Canada_-_Brand_Aug_2024;1.13646367
9;Canada_-_Non_Brand_Aug_2024;0.927360265
10;Canada_-_Brand_Sep_2024;1.088005485
11;Canada_-_Non_Brand_Sep_2024;0.934179947
12;Canada_-_Brand_Oct_2024;0.9145981
13;Canada_-_Non_Brand_Oct_2024;0.922441892
14;Canada_-_Brand_Nov_2024;0.925589432
15;Canada_-_Non_Brand_Nov_2024;0.909387884
16;Canada_-_Brand_Dec_2024;1.198361872
17;Canada_-_Non_Brand_Dec_2024;0.825757912
