,variable_splits,pos
0,Germany_Desktop_-_Apr_2024,0.984457479
1,Germany_Desktop_-_May_2024,1.014447173
2,Germany_Desktop_-_Jun_2024,1.179442976
3,Germany_Desktop_-_Jul_2024,1.160845356
4,Germany_Desktop_-_Aug_2024,1.145796758
5,Germany_Desktop_-_Sep_2024,1.101671091
6,Germany_Desktop_-_Oct_2024,1.004657466
7,Germany_Desktop_-_Nov_2024,0.99038983
8,Germany_Desktop_-_Dec_2024,0.958705564
9,Germany_Mobile_&_Tablet_-_Apr_2024,0.925265015
10,Germany_Mobile_&_Tablet_-_May_2024,0.81198709
11,Germany_Mobile_&_Tablet_-_Jun_2024,0.85333577
12,Germany_Mobile_&_Tablet_-_Jul_2024,1.052067112
13,Germany_Mobile_&_Tablet_-_Aug_2024,0.904198501
14,Germany_Mobile_&_Tablet_-_Sep_2024,0.918906349
15,Germany_Mobile_&_Tablet_-_Oct_2024,0.83607571
16,Germany_Mobile_&_Tablet_-_Nov_2024,0.9731506
17,Germany_Mobile_&_Tablet_-_Dec_2024,0.887589191
