market,account_type,funnel,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,Nov_Dec_2018,Jul_Dec_2019,power,growth
France,-,Brand,0.05,10,0.01,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,na,linear
France,-,Non_Brand,0.05,1,0.01,additive,additive,na,na,na,na,na,na,na,na,na,na,na,linear
Germany,-,Brand,0.05,0.01,10,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,na,linear
Germany,-,Non_Brand,0.5,1,0.01,additive,multiplicative,additive,na,na,na,na,na,na,na,na,na,na,logistic
Italy,-,Brand,0.5,10,1,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,na,linear
Italy,-,Non_Brand,0.05,0.1,10,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,linear
Poland,-,Brand,0.05,0.1,1,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,linear
Poland,-,Non_Brand,0.1,0.01,0.01,multiplicative,multiplicative,na,na,na,na,na,na,na,na,additive,additive,na,linear
SM,-,-,0.5,0.1,0.1,additive,additive,additive,na,na,na,na,na,na,na,additive,additive,na,linear
UK,-,Brand,0.5,0.01,10,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic
UK,-,Non_Brand,0.1,10,0.01,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,na,linear
