Market,Account Type,Funnel,AOV,ROAS
US General,Bing Ads,Brand,34.95,35.66
US General,Bing Ads,Competitor,33.09,23.96
US General,Bing Ads,Generic,36.63,6.25
US General,Google AdWords,Brand,34.54,22.33
US General,Google AdWords,Competitor,32.36,33.84
US General,Google AdWords,Generic,43.94,5.99
France,-,Brand,35.97,7.83
France,-,Non_Brand,31.04,5.57
Germany,-,Brand,24.69,8.13
Germany,-,Non_Brand,27.63,6.91
Italy,-,Brand,37.09,12.42
Italy,-,Non_Brand,41.72,11.79
Poland,-,Brand,20.26,34.73
Poland,-,Non_Brand,19.2,14.67
UK,-,Brand,23.16,6.01
UK,-,Non_Brand,24.36,5.37
SM,-,-,76.01,28.37
Canada,-,Brand,42.32,26.36
Canada,-,Non_Brand,43.89,7.12
Mexico,-,Brand,60.9,20.69
Mexico,-,Non_Brand,69.4,3.79
